prompt_strategy,iou_mean,iou_std,dice_mean,dice_std,f1_mean,f1_std,boundary_prec_mean,boundary_prec_std,boundary_recall_mean,boundary_f1_mean,s_alpha_mean,e_phi_mean,f_beta_w_mean,mae_mean,num_samples,ablation_name,decoder_path
Center-of-Mass (Single),0.7286948311740563,0.25137019451479636,0.8102208303104296,0.2298450246617911,0.8102208303104296,0.2298450246617911,0.7196037291783928,0.2683556358868457,0.7076549111742245,0.6898846734108766,0.839225826882682,0.9403142630758752,0.8094568140784238,0.028961487465895754,2026,point_only,checkpoints/ablation/camo_decoder_point_only.pth
Edge (Single),0.6732170027267129,0.2822257099581728,0.7605721271963332,0.26583513916588214,0.7605721271963332,0.26583513916588214,0.6457062857349497,0.28998414178768567,0.6971958152229117,0.6396935496326555,0.7955902164342944,0.9152426246506489,0.7295649298404512,0.03691910817931483,2026,point_only,checkpoints/ablation/camo_decoder_point_only.pth
Multi-Point Grid (4 pts),0.7471818835766976,0.23437752846284715,0.8277665780110802,0.20902138531907807,0.8277665780110802,0.2090213853190781,0.7371830217961334,0.26054909545730903,0.7219038121455257,0.7067587259208599,0.8516163991021812,0.9481016344680958,0.8289007197351024,0.0254660316482248,2026,point_only,checkpoints/ablation/camo_decoder_point_only.pth
Multi-Point Random (3 pts),0.7664399672963251,0.2049968044424459,0.8484173995698845,0.1694958064067173,0.8484173995698845,0.1694958064067173,0.7497883562492437,0.2451336348190354,0.7432722154214411,0.7239162012803384,0.8650320246879162,0.9543582849486707,0.8486876472272826,0.022738510157133705,2026,point_only,checkpoints/ablation/camo_decoder_point_only.pth
