prompt_strategy,iou_mean,iou_std,dice_mean,dice_std,f1_mean,f1_std,boundary_prec_mean,boundary_prec_std,boundary_recall_mean,boundary_f1_mean,s_alpha_mean,e_phi_mean,f_beta_w_mean,mae_mean,num_samples
Center-of-Mass (Single),0.722462513362836,0.25584848184282605,0.8049429052609439,0.23213613946709652,0.8049429052609439,0.23213613946709652,0.6863324884031701,0.2750687095629056,0.7211060135077725,0.680471339466451,0.8245835153765197,0.928372656443325,0.7885834905439191,0.04371124135312578,500
Edge (Single),0.7132391460316343,0.2595382891094331,0.7972862944588672,0.23721617439206238,0.7972862944588672,0.23721617439206238,0.6640598982125023,0.275764213856332,0.7346853960347045,0.6740327581399791,0.8179809183492639,0.9254343146751468,0.7653392457843131,0.04142162136592766,500
Multi-Point Grid (4 pts),0.7379900409580229,0.2434214502550936,0.8191336825905721,0.21855528095162025,0.819133682590572,0.21855528095162025,0.6961928200644307,0.27159047483328175,0.7333829256398032,0.6904145571174674,0.8376340932403314,0.9364536661832976,0.8074345427907426,0.038157905599490324,500
Multi-Point Random (3 pts),0.7672932455231587,0.21003115141578654,0.8475443700143249,0.17774118057606533,0.8475443700143249,0.17774118057606536,0.7160534292798755,0.25634964220771556,0.7616469259723594,0.7169975267041313,0.8597508694728595,0.946414618695422,0.8369531088095911,0.03169026174407816,500
