prompt_strategy,iou_mean,iou_std,dice_mean,dice_std,f1_mean,f1_std,boundary_prec_mean,boundary_prec_std,boundary_recall_mean,boundary_f1_mean,s_alpha_mean,e_phi_mean,f_beta_w_mean,mae_mean,num_samples,ablation_name,decoder_path
Center-of-Mass (Single),0.38461323429953553,0.2811270805411646,0.49669384910931175,0.2946556667178027,0.49669384910931175,0.2946556667178027,0.4596754216826632,0.2869053606565122,0.3941231198112867,0.3885895850081228,0.6486068608560022,0.7565024939618983,0.5032870011089176,0.06946207511767917,2026,box_only,checkpoints/ablation/camo_decoder_box_only.pth
Edge (Single),0.5225655960112651,0.30368384100143897,0.6273428196806248,0.300644925395376,0.6273428196806248,0.300644925395376,0.5208800266914931,0.2800315543420459,0.5888614589197666,0.513930160986393,0.7144197320301601,0.8491788621101005,0.5777318253576263,0.05403005567832934,2026,box_only,checkpoints/ablation/camo_decoder_box_only.pth
Multi-Point Grid (4 pts),0.4241999206058108,0.2743133313679301,0.542146556797296,0.2825438929857859,0.542146556797296,0.2825438929857859,0.46930597388629447,0.2919273187235014,0.4132033166792814,0.40654101734258025,0.6772042211307843,0.783638525792459,0.570734062470416,0.06374444629566875,2026,box_only,checkpoints/ablation/camo_decoder_box_only.pth
Multi-Point Random (3 pts),0.4912367393404307,0.28223748497949164,0.6072075151549876,0.2767189189278524,0.6072075151549876,0.2767189189278524,0.5228291535099931,0.2893292526444316,0.4947193491534564,0.4767467649768749,0.7136985817521486,0.8267779787996375,0.6160348366580852,0.056614783172227484,2026,box_only,checkpoints/ablation/camo_decoder_box_only.pth
