prompt_strategy,iou_mean,iou_std,dice_mean,dice_std,f1_mean,f1_std,boundary_prec_mean,boundary_prec_std,boundary_recall_mean,boundary_f1_mean,s_alpha_mean,e_phi_mean,f_beta_w_mean,mae_mean,num_samples
Center-of-Mass (Single),0.7230397246663897,0.2580659202249277,0.8045591184050208,0.23536520349366202,0.8045591184050208,0.23536520349366202,0.6888142793092706,0.27316995061770094,0.7254463470794136,0.6829676526275014,0.8229408747323209,0.9266051278404016,0.7874635658175451,0.04187771740849127,500
Edge (Single),0.712913535477691,0.2613141489635006,0.7965700187307199,0.23876151315946825,0.7965700187307199,0.23876151315946825,0.6623300919420456,0.2793787168352758,0.7333337796480105,0.671927328685844,0.8146784598248874,0.9237331704605417,0.761100804550667,0.04190406794319692,500
Multi-Point Grid (4 pts),0.7390213082490513,0.24167786228961424,0.8205772109422539,0.21471048500663698,0.8205772109422541,0.21471048500663698,0.6986763973076957,0.268524975650671,0.7360894851720016,0.6929565825193611,0.8369864967448156,0.9348336074912454,0.8083202193389751,0.037112341045843406,500
Multi-Point Random (3 pts),0.7612495103793847,0.2178494263334901,0.8419309326733234,0.18481692243611286,0.8419309326733238,0.1848169224361129,0.7097087287279908,0.2554619125320826,0.7593055816448987,0.7128991712924448,0.8534792957871185,0.9441750778892255,0.8254298289345382,0.032624982420673986,500
