prompt_strategy,iou_mean,iou_std,dice_mean,dice_std,f1_mean,f1_std,boundary_prec_mean,boundary_prec_std,boundary_recall_mean,boundary_f1_mean,s_alpha_mean,e_phi_mean,f_beta_w_mean,mae_mean,num_samples
Center-of-Mass (Single),0.7216903758471989,0.25681274028361684,0.8040461628553732,0.23376573315391688,0.8040461628553732,0.23376573315391688,0.6887776034858637,0.27633126968772564,0.7201424780710476,0.6803418454417599,0.8243704983632554,0.9274140247301325,0.7896575688031078,0.04218364537339535,500
Edge (Single),0.7087703905495283,0.2608795392281379,0.7938417731221135,0.23785632147383168,0.7938417731221135,0.23785632147383165,0.6536209409088388,0.27775988851801425,0.7314128764564582,0.6662708297581996,0.8153098705969307,0.9263484582905286,0.7577447292863333,0.04075378987596081,500
Multi-Point Grid (4 pts),0.738009393289006,0.24584625672656032,0.8185428673729035,0.22065491509790627,0.8185428673729034,0.22065491509790627,0.7025321556683611,0.27293835972729885,0.7321870775163327,0.6926254580823472,0.8374753539668733,0.9345762619782237,0.811321561318122,0.036402074995958204,500
Multi-Point Random (3 pts),0.7607895414881221,0.21260727029301915,0.8431457810484431,0.17654098227105539,0.8431457810484431,0.17654098227105539,0.7186809879514828,0.25544234894357964,0.7557896235001624,0.7155324416664228,0.8540231035230962,0.9447622226569259,0.8306706392197195,0.03265758455099993,500
