prompt_strategy,iou_mean,iou_std,dice_mean,dice_std,f1_mean,f1_std,boundary_prec_mean,boundary_prec_std,boundary_recall_mean,boundary_f1_mean,s_alpha_mean,e_phi_mean,f_beta_w_mean,mae_mean,num_samples,ablation_name,decoder_path
Center-of-Mass (Single),0.7133811210139563,0.2638016097055081,0.7954576954076451,0.24623412803305708,0.7954576954076451,0.2462341280330571,0.6736158443857183,0.2794735647339469,0.7039668065603273,0.6652582350219785,0.8233780043428508,0.9258778611294083,0.7822616655584452,0.04199129443913543,500,bce_only,checkpoints/ablation/camo_decoder_bce_only.pth
Multi-Point Grid (4 pts),0.7306806059961504,0.2448201946876151,0.8136370309078106,0.22129047210864694,0.8136370309078106,0.22129047210864689,0.6893061453979953,0.27185768472868976,0.7155351571380495,0.6793849760277734,0.8375158373420736,0.9336167188081795,0.808822813109058,0.03795738286263713,500,bce_only,checkpoints/ablation/camo_decoder_bce_only.pth
