image_path,category,prompt_strategy,model,iou,dice,f1,boundary_prec,boundary_recall,boundary_f1,s_alpha,e_phi,f_beta_w,mae,fg_pixel_count,fg_pixel_ratio,image_brightness,gt_aspect_ratio
data/cod10k/COD10K-v3/Test/Image_CAM/COD10K-CAM-1-Aquatic-1-BatFish-2.jpg,Aquatic,Center-of-Image (Fixed),base,0.84568476235865,0.9163913357315978,0.9163913357315978,0.7839224629418472,0.5689213893967093,0.6593373744134878,0.9322502724474099,0.9656086349036734,0.9835319047228329,0.03341228893058161,92064,0.21590994371482175,101.71033067542214,2.238853503184713
data/cod10k/COD10K-v3/Test/Image_CAM/COD10K-CAM-1-Aquatic-1-BatFish-4.jpg,Aquatic,Center-of-Image (Fixed),base,0.7723883314820548,0.8715791204021195,0.8715791204021195,0.5162629757785467,0.36108576642335766,0.4249512270733959,0.8723315341801818,0.926214319165622,0.9633496063123458,0.07180463005514706,218973,0.31447179457720587,188.66935173483455,1.303448275862069
data/cod10k/COD10K-v3/Test/Image_CAM/COD10K-CAM-1-Aquatic-1-BatFish-5.jpg,Aquatic,Center-of-Image (Fixed),base,0.9010682464342219,0.9479599147735273,0.9479599147735273,0.6102461074836766,0.5154019534184824,0.558828370585094,0.9518319091632472,0.9813018804648251,0.9901597124484306,0.021149953206380207,160324,0.20386250813802084,102.51018905639648,1.1782786885245902
data/cod10k/COD10K-v3/Test/Image_CAM/COD10K-CAM-1-Aquatic-1-BatFish-6.jpg,Aquatic,Center-of-Image (Fixed),base,0.6932843604044802,0.8188634781211505,0.8188634781211503,0.6532019704433497,0.6075533661740559,0.6295512609117984,0.819148564381918,0.9659801119526766,0.880165762313075,0.015863039399624766,15849,0.037169324577861165,146.8289892120075,3.0757575757575757
data/cod10k/COD10K-v3/Test/Image_CAM/COD10K-CAM-1-Aquatic-10-LeafySeaDragon-416.jpg,Aquatic,Center-of-Image (Fixed),base,0.2475303800202344,0.3968326286630704,0.39683262866307045,0.7082379862700229,0.08794343835276607,0.15645902242477958,0.5928784256647316,0.6619429368440594,0.6450240643076636,0.05386881510416667,87343,0.07107991536458333,28.12419677734375,1.1728155339805826
data/cod10k/COD10K-v3/Test/Image_CAM/COD10K-CAM-1-Aquatic-10-LeafySeaDragon-419.jpg,Aquatic,Center-of-Image (Fixed),base,0.0,0.0,0.0,0.09838846480067855,0.008589511754068717,0.015799679561852804,0.3978020237171163,0.4646936771079649,0.0,0.16043472290039062,110691,0.14075088500976562,104.67481994628906,1.356164383561644
data/cod10k/COD10K-v3/Test/Image_CAM/COD10K-CAM-1-Aquatic-10-LeafySeaDragon-422.jpg,Aquatic,Center-of-Image (Fixed),base,0.6752007740686986,0.8061132546265277,0.8061132546265278,0.3712566662108574,0.3811031934547374,0.37611549650510256,0.7598315568657281,0.881700481007209,0.804903571651955,0.11742537313432835,109389,0.25510494402985073,111.46829057835821,1.60431654676259
data/cod10k/COD10K-v3/Test/Image_CAM/COD10K-CAM-1-Aquatic-10-LeafySeaDragon-423.jpg,Aquatic,Center-of-Image (Fixed),base,0.025903401996015596,0.050498715465057395,0.050498715465057395,0.4722222222222222,0.017121075074299004,0.03304409057234858,0.3546387322365891,0.2903532807808118,0.05805140847225184,0.2916611369166114,209719,0.2992757811217901,78.0405177273084,1.3670295489891136
data/cod10k/COD10K-v3/Test/Image_CAM/COD10K-CAM-1-Aquatic-10-LeafySeaDragon-429.jpg,Aquatic,Center-of-Image (Fixed),base,0.0007284500202347228,0.0014558395341313492,0.001455839534131349,0.36995412844036696,0.36013058559477656,0.36497626743085393,0.17452618006741094,0.4371989273753068,7.26636799943126e-05,0.6178366352489019,279801,0.4000631977489019,79.09512834004393,1.197657393850659
data/cod10k/COD10K-v3/Test/Image_CAM/COD10K-CAM-1-Aquatic-11-Octopus-430.jpg,Aquatic,Center-of-Image (Fixed),base,0.0011849580036942808,0.0023671110801684824,0.002367111080168483,0.0,0.0,0.0,0.39750132373578567,0.25201338640804855,0.005935472637982238,0.20488510020131773,143465,0.20512816846632503,103.81488349881039,1.340463458110517
data/cod10k/COD10K-v3/Test/Image_CAM/COD10K-CAM-1-Aquatic-11-Octopus-436.jpg,Aquatic,Center-of-Image (Fixed),base,0.012992583684105032,0.0256518831299888,0.025651883129988805,0.0,0.0,0.0,0.3227883840784689,0.2686628456178305,0.07390944956677707,0.3520329085834553,249450,0.3566669335651537,82.64565365345901,1.1604361370716512
data/cod10k/COD10K-v3/Test/Image_CAM/COD10K-CAM-1-Aquatic-11-Octopus-437.jpg,Aquatic,Center-of-Image (Fixed),base,0.921006908391134,0.9588793297599207,0.9588793297599207,0.2275728155339806,0.23682042833607908,0.23210454658330332,0.9501598307822517,0.9716865329201307,0.9953645890313806,0.03263262948389458,288890,0.4130587710468521,105.45736725613104,1.4794776119402986
