prompt_strategy,iou_mean,iou_std,dice_mean,dice_std,f1_mean,f1_std,boundary_prec_mean,boundary_prec_std,boundary_recall_mean,boundary_f1_mean,s_alpha_mean,e_phi_mean,f_beta_w_mean,mae_mean,num_samples,model
Center-of-Image (Fixed),0.32602861605856825,0.3764424850262331,0.3774483189152644,0.405998930134686,0.3774483189152644,0.405998930134686,0.42177664954584093,0.3596011810233781,0.3255162006400904,0.3188681480597777,0.5267308927802713,0.6838084303254663,0.39621015073143334,0.16852791899063355,2026,Base SAM ViT-H
Center-of-Image (Fixed),0.5662788480699992,0.3660028130965349,0.6364496101403413,0.37479282051925816,0.6364496101403413,0.3747928205192582,0.5771684734867331,0.3441583952461782,0.5834139668892796,0.5527471766296723,0.7248867575477538,0.8645751234021668,0.6243825077361717,0.045684862974870274,2026,Specialized SAM ViT-H
Center-of-Image (Fixed),0.001374362023287781,0.029796515786083912,0.001699285512263318,0.03539958235444004,0.001699285512263318,0.03539958235444004,0.0023147928085211914,0.043088500701948855,0.0015546350166332184,0.0016786358615987964,0.47424017062070567,0.2515574410306387,0.0018974851838693405,0.0905159665132236,2026,LLPM + SAM ViT-H
