image_path,category,prompt_strategy,model,iou,dice,f1,boundary_prec,boundary_recall,boundary_f1,s_alpha,e_phi,f_beta_w,mae,fg_pixel_count,fg_pixel_ratio,image_brightness,gt_aspect_ratio
data/cod10k/COD10K-v3/Test/Image/COD10K-CAM-1-Aquatic-1-BatFish-2.jpg,Aquatic,Center-of-Mass (Single),base,0.8461588457038867,0.9166696004224608,0.9166696004224609,0.7926689576174112,0.5740402193784278,0.6658678671132588,0.9325884836576028,0.9657236420133443,0.9836047264584574,0.03330675422138837,92064,0.21590994371482175,101.71033067542214,2.238853503184713
data/cod10k/COD10K-v3/Test/Image/COD10K-CAM-1-Aquatic-1-BatFish-4.jpg,Aquatic,Center-of-Mass (Single),base,0.7749392391927687,0.8732008646619434,0.8732008646619434,0.522268615170494,0.35994525547445255,0.4261735535316452,0.8740024904910333,0.9272145966551635,0.9643947880116511,0.07101476332720588,218973,0.31447179457720587,188.66935173483455,1.303448275862069
data/cod10k/COD10K-v3/Test/Image/COD10K-CAM-1-Aquatic-1-BatFish-5.jpg,Aquatic,Center-of-Mass (Single),base,0.8766194243978784,0.934253810869666,0.9342538108696659,0.36779730281977935,0.3737791134485349,0.3707640824624035,0.948566520390164,0.9748752657877503,0.9903054612086051,0.02526092529296875,160324,0.20386250813802084,102.51018905639648,1.1782786885245902
data/cod10k/COD10K-v3/Test/Image/COD10K-CAM-1-Aquatic-1-BatFish-6.jpg,Aquatic,Center-of-Mass (Single),base,0.8119170105715416,0.8961966865308415,0.8961966865308414,0.8399209486166008,0.6995073891625616,0.7633105035825635,0.9159179310856356,0.9937498660177674,0.9760650652128356,0.007802532833020638,15849,0.037169324577861165,146.8289892120075,3.0757575757575757
data/cod10k/COD10K-v3/Test/Image/COD10K-CAM-1-Aquatic-10-LeafySeaDragon-416.jpg,Aquatic,Center-of-Mass (Single),base,0.00982553954779668,0.019459875321031373,0.019459875321031377,0.7484276729559748,0.03125775241875465,0.06000924512179747,0.4649118444495468,0.2726414612370496,0.009162259017900779,0.07052978515625,87343,0.07107991536458333,28.12419677734375,1.1728155339805826
data/cod10k/COD10K-v3/Test/Image/COD10K-CAM-1-Aquatic-10-LeafySeaDragon-419.jpg,Aquatic,Center-of-Mass (Single),base,0.08495110899117576,0.15659896245493712,0.15659896245493712,0.39858134621189256,0.19349005424954793,0.2605142766270792,0.24057960213959056,0.6834476092244861,0.023352329212813105,0.3171183268229167,110691,0.14075088500976562,104.67481994628906,1.356164383561644
data/cod10k/COD10K-v3/Test/Image/COD10K-CAM-1-Aquatic-10-LeafySeaDragon-422.jpg,Aquatic,Center-of-Mass (Single),base,0.00020065120436325165,0.0004012219030684357,0.00040122190306843573,0.9459459459459459,0.010160992346265505,0.020106013525863643,0.3718835780941082,0.2535395416321067,5.726374772712734e-05,0.25564598880597017,109389,0.25510494402985073,111.46829057835821,1.60431654676259
data/cod10k/COD10K-v3/Test/Image/COD10K-CAM-1-Aquatic-10-LeafySeaDragon-423.jpg,Aquatic,Center-of-Mass (Single),base,0.00576447197150663,0.011462866569957618,0.011462866569957618,0.3463687150837989,0.003811861997674118,0.007540736572057015,0.3506067976455553,0.25893694523100386,0.010313955567043476,0.2975704775563499,209719,0.2992757811217901,78.0405177273084,1.3670295489891136
data/cod10k/COD10K-v3/Test/Image/COD10K-CAM-1-Aquatic-10-LeafySeaDragon-429.jpg,Aquatic,Center-of-Mass (Single),base,0.8387307179111939,0.912293148464932,0.9122931484649321,0.9200879765395894,0.5879752431476569,0.7174619003509616,0.8751493786256055,0.9415937230089196,0.9809749101498489,0.06964334736456808,279801,0.4000631977489019,79.09512834004393,1.197657393850659
data/cod10k/COD10K-v3/Test/Image/COD10K-CAM-1-Aquatic-11-Octopus-430.jpg,Aquatic,Center-of-Mass (Single),base,0.26008559161369466,0.4128062305364877,0.41280623053648763,0.07508906549739655,0.09935668334524661,0.08553490758946569,0.5309342723412456,0.6280620974001369,0.5228607470462694,0.15178469299048317,143465,0.20512816846632503,103.81488349881039,1.340463458110517
data/cod10k/COD10K-v3/Test/Image/COD10K-CAM-1-Aquatic-11-Octopus-436.jpg,Aquatic,Center-of-Mass (Single),base,0.6608080840433028,0.7957669406744932,0.795766940674493,0.4307511737089202,0.17889004750318618,0.25279490705577545,0.7920354807418326,0.8685687761647928,0.9107214196693858,0.12113664439970717,249450,0.3566669335651537,82.64565365345901,1.1604361370716512
data/cod10k/COD10K-v3/Test/Image/COD10K-CAM-1-Aquatic-11-Octopus-437.jpg,Aquatic,Center-of-Mass (Single),base,0.9372605612599798,0.9676143519386907,0.9676143519386907,0.35523434077967586,0.33813838550247116,0.34647560226473556,0.9606980339570826,0.9777383456564428,0.9976758842749355,0.02592108574304539,288890,0.4130587710468521,105.45736725613104,1.4794776119402986
