image_path,category,prompt_strategy,model,iou,dice,f1,boundary_prec,boundary_recall,boundary_f1,s_alpha,e_phi,f_beta_w,mae,fg_pixel_count,fg_pixel_ratio,image_brightness,gt_aspect_ratio
data/camo/CAMO-V.1.0-CVIU2019/Images/Test/camourflage_00012.jpg,Unknown,Center-of-Mass (Single),base,0.48873452279525625,0.6565771335477673,0.6565771335477673,0.08448910274554203,0.41494661921708187,0.14039231077496292,0.5667767711560248,0.7320345848287194,0.5746472776512037,0.3097197106690778,79898,0.30100210970464136,137.64981163351416,1.6877076411960132
data/camo/CAMO-V.1.0-CVIU2019/Images/Test/camourflage_00018.jpg,Unknown,Center-of-Mass (Single),base,0.7340383669454009,0.8466229824412107,0.8466229824412107,0.8131672597864769,0.6361123906034085,0.7138246499825536,0.8084862368829591,0.9651719089830789,0.9469439163315957,0.018318877896733976,40460,0.06853909743867732,173.35593406965714,2.1985559566787005
data/camo/CAMO-V.1.0-CVIU2019/Images/Test/camourflage_00061.jpg,Unknown,Center-of-Mass (Single),base,0.9392503028663507,0.9686736173025953,0.9686736173025954,0.7199391171993912,0.716374269005848,0.7181522692273132,0.9773099244301213,0.9924693721692296,0.9971495816620873,0.008406575520833333,84056,0.13680989583333333,144.97702473958333,2.1346938775510202
data/camo/CAMO-V.1.0-CVIU2019/Images/Test/camourflage_00064.jpg,Unknown,Center-of-Mass (Single),base,0.6892813874896384,0.8160646208432416,0.8160646208432416,0.625,0.49657657657657656,0.5534358809590746,0.824363458541036,0.9384311411018508,0.9464661418776211,0.05363594587975664,60306,0.16594343075233964,99.88240651820381,1.8398791540785497
data/camo/CAMO-V.1.0-CVIU2019/Images/Test/camourflage_00071.jpg,Unknown,Center-of-Mass (Single),base,0.0,0.0,0.0,0.0,0.0,0.0,0.3916144706598411,0.47436784857219794,0.0,0.16990127999683463,7472,0.14782281836706432,130.26171681801097,1.2392638036809815
data/camo/CAMO-V.1.0-CVIU2019/Images/Test/camourflage_00079.jpg,Unknown,Center-of-Mass (Single),base,0.9073146858412077,0.9514053371230065,0.9514053371230065,0.7247474747474747,0.756993006993007,0.7405193783667827,0.9364809631492889,0.9763985338158444,0.9905621465864566,0.025096839959225282,48486,0.24712538226299693,154.17777777777778,1.8370044052863437
data/camo/CAMO-V.1.0-CVIU2019/Images/Test/camourflage_00087.jpg,Unknown,Center-of-Mass (Single),base,0.7315356674402179,0.8449559326972103,0.8449559326972103,0.6281070745697896,0.46508474576271186,0.5344405504227066,0.9016056587078105,0.9588103252132243,0.9630675112153072,0.024581947524020695,39585,0.09142876940133038,146.9672972099039,1.0927152317880795
data/camo/CAMO-V.1.0-CVIU2019/Images/Test/camourflage_00088.jpg,Unknown,Center-of-Mass (Single),base,0.7787941343963554,0.8756427956860156,0.8756427956860156,0.7957813998082455,0.5846047156726768,0.6740397541747567,0.8947873318722456,0.9822702070984937,0.9421085865954224,0.02121160409556314,25378,0.08661433447098976,94.76502389078499,1.3623188405797102
data/camo/CAMO-V.1.0-CVIU2019/Images/Test/camourflage_00090.jpg,Unknown,Center-of-Mass (Single),base,0.8651450194231427,0.9276973215634645,0.9276973215634644,0.29563387690689114,0.32030804335424984,0.3074767459280254,0.9265618326866694,0.9600193552868904,0.9840858569819764,0.041270679338261174,347576,0.30585709257303767,110.0911510031679,1.4303797468354431
data/camo/CAMO-V.1.0-CVIU2019/Images/Test/camourflage_00097.jpg,Unknown,Center-of-Mass (Single),base,0.8709405314213412,0.9310189359783588,0.9310189359783589,0.9429280397022333,0.8294243070362474,0.8825417105738432,0.9454854112758544,0.9895970283366391,0.9866089850595764,0.009491118876780877,7014,0.07251711089514278,145.68313310312027,1.0925925925925926
data/camo/CAMO-V.1.0-CVIU2019/Images/Test/camourflage_00098.jpg,Unknown,Center-of-Mass (Single),base,0.9490573012939002,0.9738629035317324,0.9738629035317325,1.0,1.0,1.0,0.9811775738761535,0.9976423322356376,0.9958747742959639,0.0029364132287759974,13167,0.05611575178997613,125.67103648141834,1.9937888198757765
data/camo/CAMO-V.1.0-CVIU2019/Images/Test/camourflage_00100.jpg,Unknown,Center-of-Mass (Single),base,0.009459967422628742,0.018742630174393347,0.018742630174393343,0.0,0.0,0.0,0.4537362710926503,0.26771571993929977,0.024587099747948413,0.09304967043314501,15962,0.09393832391713748,95.97432321092279,1.0
